# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: fluxd, unit: mag(AB), datatype: float64}
# - {name: lambda eff, unit: um, datatype: float64}
# - {name: lambda pivot, unit: um, datatype: float64}
# delimiter: ','
# meta: !!omap
# - comments: ['Apparent magnitude of the Sun, (AB mag)', 'Tables 3 and 4 of Willmer (2018, ApJS 236, 47)']
# schema: astropy-2.0
name,fluxd,lambda eff,lambda pivot
NIRCAM F200W,-26.64,1.9681,1.9886
NIRCAM F210M,-26.54,2.0908,2.0955
NIRCAM F250M,-26.21,2.5006,2.5032
NIRCAM F277W,-26.04,2.728,2.7618
NIRCAM F300M,-25.88,2.9819,2.9892
NIRCAM F322W2,-25.8,3.0736,3.232
NIRCAM F323N,-25.73,3.2368,3.2369
NIRCAM F335M,-25.66,3.3539,3.3621
NIRCAM F356W,-25.55,3.5287,3.5684
NIRCAM F405N,-25.27,4.0516,4.0517
NIRCAM F410M,-25.27,4.0723,4.0822
NIRCAM F430M,-25.16,4.2785,4.2813
NIRCAM F444W,-25.11,4.3496,4.404
NIRCAM F460M,-24.97,4.6229,4.6285
NIRCAM F466N,-24.96,4.654,4.6544
NIRCAM F470N,-24.94,4.7078,4.7078
NIRCAM F480M,-24.9,4.8094,4.8167
NIRISS F090W,-27.07,0.8985,0.9031
NIRISS F115W,-27.05,1.1388,1.1499
NIRISS F140M,-27.02,1.401,1.4044
NIRISS F150W,-26.98,1.4797,1.4936
NIRISS F158M,-26.95,1.5704,1.5825
NIRISS F200W,-26.64,1.9714,1.993
NIRISS F277W,-26.05,2.711,2.7641
NIRISS F356W,-25.54,3.5326,3.5926
NIRISS F380M,-25.4,3.7742,3.8229
NIRISS F430M,-25.17,4.2303,4.2792
NIRISS F444W,-25.11,4.3587,4.427
NIRISS F480M,-24.91,4.7529,4.8113
OMEGACAM g,-26.48,0.4702,0.4735
OMEGACAM i,-27.05,0.7453,0.7495
OMEGACAM r,-26.94,0.6233,0.6276
OMEGACAM u,-25.23,0.3632,0.359
OMEGACAM z,-27.07,0.884,0.8842
PS1 Y,-27.07,0.9614,0.9628
PS1 g,-26.54,0.4811,0.4849
PS1 i,-27.05,0.7504,0.7535
PS1 r,-26.93,0.6156,0.6201
PS1 z,-27.07,0.8669,0.8674
SDSS g,-26.47,0.4673,0.4702
SDSS i,-27.05,0.7459,0.749
SDSS r,-26.93,0.6142,0.6176
SDSS u,-25.18,0.3607,0.3556
SDSS z,-27.07,0.8925,0.8947
SkyMapper g,-26.63,0.5016,0.5075
SkyMapper i,-27.05,0.7734,0.7768
SkyMapper r,-26.91,0.6078,0.6138
SkyMapper u,-25.25,0.3685,0.359
SkyMapper v,-25.49,0.3874,0.3836
SkyMapper z,-27.07,0.9119,0.9143
Tycho Bt,-26.09,0.4234,0.4212
Tycho Vt,-26.72,0.5291,0.5335
UKIRT H,-26.92,1.6271,1.636
UKIRT J,-27.03,1.2462,1.2502
UKIRT K,-26.45,2.195,2.206
UKIRT Y,-27.07,1.0299,1.0315
UKIRT z,-27.07,0.8823,0.8826
VIRCAM H,-27.03,1.248,1.2535
VIRCAM J,-26.91,1.6339,1.643
VIRCAM Ks,-26.5,2.1349,2.1494
VIRCAM Y,-27.07,1.0204,1.0253
VIRCAM Z,-27.07,0.8815,0.8899
WFC3 F098M,-27.07,0.9828,0.9864
WFC3 F105W,-27.06,1.0432,1.0551
WFC3 F125W,-27.03,1.2365,1.2486
WFC3 F140W,-27.01,1.3733,1.3922
WFC3 F160W,-26.97,1.5279,1.537
WFC3 F218W,-20.83,0.2233,0.2229
WFC3 F225W,-21.44,0.2374,0.2372
WFC3 F336W,-24.93,0.3359,0.3355
WFC3 F390W,-25.73,0.4023,0.3924
WFC3 F438W,-26.25,0.4324,0.4326
WFC3 F475W,-26.5,0.4734,0.4774
WFC3 F555W,-26.72,0.5238,0.5308
WFC3 F606W,-26.85,0.5783,0.5887
WFC3 F625W,-26.93,0.6188,0.6241
WFC3 F775W,-27.05,0.7611,0.7648
WFC3 F814W,-27.06,0.7955,0.803
WFPC2 F218W,-20.74,0.2205,0.2207
WFPC2 F300W,-24.17,0.3039,0.2992
WFPC2 F450W,-26.37,0.4547,0.4556
WFPC2 F555W,-26.75,0.5373,0.5442
WFPC2 F606W,-26.87,0.5902,0.6001
WFPC2 F702W,-27.0,0.6841,0.6919
WFPC2 F814W,-27.05,0.793,0.8002
WISE 1,-25.66,3.3387,3.3897
WISE 2,-25.0,4.587,4.6406
WISE 3,-23.09,11.3086,12.5705
WISE 4,-21.7,22.023,22.3142
CFHTLS g,-26.54,0.4803,0.4844
CFHTLS i,-27.05,0.7638,0.7678
CFHTLS r,-26.94,0.6212,0.6248
CFHTLS u,-25.53,0.3895,0.3803
CFHTLS z,-27.07,0.8845,0.8859
